location.lat,location.lon,msisdn
-6.316,107.333,ffffce3f1f5a275eb59c8031122bf2a9
-7.551,108.908,fff4dc612711430e26158663a130d911
-7.892,110.287,ffd1ea9c946a5b47390eff32554585ff
-6.323,106.843,ffff14d82e4a843934ed9fd39b042fbb
-6.185,106.779,fffd3cb23f090cf6a6c40dbc3a511174
-6.323,106.843,ffff14d82e4a843934ed9fd39b042fbb
-6.322,107.337,ffffce3f1f5a275eb59c8031122bf2a9
-6.185,106.779,fffd3cb23f090cf6a6c40dbc3a511174
-7.424,108.87,fff7361063c87256f076b14852e86d8f
-7.799,110.603,ffaf5a6a0f72f9a81233a8c28cd8203d
-6.889,107.596,fffb1cea1da01d96b1f7d258c11c773d
-6.365,106.856,ffedf902e1e5e135db6b81014dd6993f
-6.365,106.856,ffedf902e1e5e135db6b81014dd6993f
-6.22,106.56,fffbee94c4076804f61f8c7dbb7f1e48
-6.334,106.833,ffff14d82e4a843934ed9fd39b042fbb
-6.334,106.833,ffff14d82e4a843934ed9fd39b042fbb
-6.128,106.717,fffcf501189ec31d620921a5790e47fd
-6.114,107.333,fffc8fbce04bf288635c3efbd55834eb
-6.22,106.56,fffbee94c4076804f61f8c7dbb7f1e48
-7.95,110.24,ffccb86bf37e2604ea795f6a9ff259fb
-6.236,106.999,fff1ef0e6f99e225c11980cc13957c8f
-7.797,112.072,fffe66baf825d6fea785fb163546df42
-6.204,106.844,ffffbd03f7e45d5ffece3cf8db3dfff3
-6.262,107.021,fff567fd2d993b4ae51b81169e04ad4b
-6.223,106.807,fff4935892ffe8c2a4a783de0138a55b
-6.204,106.844,ffffbd03f7e45d5ffece3cf8db3dfff3
-7.679,110.828,fffc41c58c0756fceb3cf83fc3bc9b01
-6.192,106.973,fff22623091f78250eac73e4791e6d10
-6.126,106.793,fff8b6a8591caedebc740774ad29fb57
-6.213,106.819,fffce19e0062cc06e3bee0997ac8212c
-6.821,107.173,fffe689b3ec855d592826cd199076f34
-6.213,106.819,fffce19e0062cc06e3bee0997ac8212c
-6.434,106.919,fffeb65258ce4b5b204f9b48001371fb
-6.958,106.733,fffe48f7ac0a995c0fa99224066811cc
-6.855,107.551,fffaa936e8b0f724abe1ce5b6093615b
